,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Year
,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,
40,40,Mamadou N'Diaye,"Feb 5, '01, TOR vs. BOS",25,5,69,858,85,199,0,1,92,125,88,225,8,17,64,40,146,262,.427,.000,.736,12.4,3.8,3.3,0.1,2001
41,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,2001
42,41,Lee Nailon,"Nov 19, '00, CHH @ DET",25,6,306,5820,1121,2366,1,9,379,482,379,936,298,133,53,320,596,2622,.474,.111,.786,19.0,8.6,3.1,1.0,2001
43,42,Eduardo Nájera,"Oct 31, '00, DAL vs. MIL",24,12,619,11213,1204,2505,110,354,534,796,897,2307,493,446,231,402,1378,3052,.481,.311,.671,18.1,4.9,3.7,0.8,2001
44,43,Ira Newble,"Nov 22, '00, SAS vs. SEA",26,8,380,7645,782,1753,85,249,281,361,403,1114,342,204,105,289,695,1930,.446,.341,.778,20.1,5.1,2.9,0.9,2001
45,44,Olumide Oyedeji,"Dec 22, '00, SEA vs. WAS",19,3,93,587,50,101,0,0,27,41,61,196,11,16,15,30,106,127,.495,,.659,6.3,1.4,2.1,0.1,2001
46,45,Andy Panko,"Jan 11, '01, ATL vs. GSW",23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,2001
47,46,Mike Penberthy,"Nov 12, '00, LAL vs. HOU",26,2,56,863,93,224,55,139,31,35,10,65,73,24,2,34,57,272,.415,.396,.886,15.4,4.9,1.2,1.3,2001
48,47,Morris Peterson,"Oct 31, '00, TOR vs. DET",23,11,711,19366,2747,6567,1009,2702,1125,1456,569,2483,1090,639,136,716,1606,7628,.418,.373,.773,27.2,10.7,3.5,1.5,2001
49,48,Chris Porter,"Nov 2, '00, GSW @ DEN",22,1,51,1147,173,445,0,5,94,141,89,189,61,45,6,59,111,440,.389,.000,.667,22.5,8.6,3.7,1.2,2001
50,49,Lavor Postell,"Oct 31, '00, NYK vs. PHI",22,3,61,446,59,176,11,44,66,83,11,45,13,12,2,35,28,195,.335,.250,.795,7.3,3.2,0.7,0.2,2001
